order_id,customer_id,order_date_fk,revenue
126887,K663491948.0,20170525,13.90
285084,K723564335.0,20170525,12.96
269720,K1630127015.0,20170525,12.90
269716,K663491948.0,20170525,6.90
295333,K18225118.0,20170526,164.99
285086,K1410732349.0,20170526,141.27
279450,K175957022.0,20170526,88.54
280681,K3643027440.0,20170526,83.58
279459,K909028671.0,20170526,53.80
294537,K4186897779.0,20170526,53.39
283484,K1199715600.0,20170526,45.04
285085,K519967723.0,20170526,44.70
293731,K2328849345.0,20170526,43.88
279085,K3568650762.0,20170526,43.77
299383,K3449302805.0,20170526,39.58
279466,K3683571203.0,20170526,38.68
288228,K3019881014.0,20170526,37.44
292944,K3547646307.0,20170526,34.94
288227,K140907021.0,20170526,30.94
279465,K2430525831.0,20170526,29.88
288226,K443974340.0,20170526,29.80
282674,K3808252837.0,20170526,27.88
126889,K2770165496.0,20170526,22.70
126891,K2733217253.0,20170526,20.00
284309,K1775750246.0,20170526,19.90
126890,K201078088.0,20170526,14.97
269715,K3052356421.0,20170526,4.00
269714,K4183074167.0,20170526,3.90
279087,K3705538188.0,20170527,79.49
279089,K3571943431.0,20170527,47.60
279088,K2684893613.0,20170527,47.37
279090,K2450433252.0,20170527,43.77
279086,K1552734990.0,20170527,43.77
285089,K801186823.0,20170527,40.47
310222,K1075898778.0,20170527,38.49
284311,K2728379380.0,20170527,36.95
289813,K2495998867.0,20170527,35.78
126893,K389177070.0,20170527,34.00
310291,K2275297801.0,20170527,31.86
289812,K4006060583.0,20170527,26.55
284310,K4034085155.0,20170527,22.95
167367,K0167367.0,20170527,22.00
285088,K1151712178.0,20170527,18.96
167352,K0167352.0,20170527,18.00
167358,K0167358.0,20170527,17.98
126892,K108102629.0,20170527,16.20
307327,K2343033022.0,20170527,14.99
167364,K0167364.0,20170527,12.00
285869,K409738293.0,20170527,11.47
167341,K0167341.0,20170527,9.90
112042,K0112042.0,20170527,9.00
126894,K2983334655.0,20170527,8.89
167343,K0167343.0,20170527,8.00
167362,K0167362.0,20170527,8.00
167345,K0167345.0,20170527,8.00
167366,K0167366.0,20170527,6.00
167374,K0167374.0,20170527,5.00
167350,K0167350.0,20170527,4.00
167372,K0167372.0,20170527,4.00
167371,K0167371.0,20170527,4.00
167351,K0167351.0,20170527,4.00
167357,K0167357.0,20170527,4.00
167363,K0167363.0,20170527,4.00
167356,K0167356.0,20170527,4.00
167373,K0167373.0,20170527,4.00
167342,K0167342.0,20170527,4.00
167347,K0167347.0,20170527,3.50
310610,K404574152.0,20170528,185.68
285090,K2148195009.0,20170528,121.50
297736,K188146384.0,20170528,119.60
286711,K4248200223.0,20170528,92.06
292978,K2977561914.0,20170528,84.83
310142,K4240739892.0,20170528,73.36
279448,K3123707715.0,20170528,70.94
279445,K1456034402.0,20170528,64.87
289815,K2696825823.0,20170528,59.06
301773,K1165332861.0,20170528,58.99
286710,K1828385678.0,20170528,54.89
279444,K3649066824.0,20170528,53.89
295335,K1847533452.0,20170528,53.56
284315,K520311998.0,20170528,51.01
292947,K1766502330.0,20170528,49.90
284312,K4284671742.0,20170528,45.92
284314,K1385776675.0,20170528,43.96
285091,K489112357.0,20170528,42.78
126895,K4007268694.0,20170528,35.88
310072,K2638534204.0,20170528,34.87
289022,K1002347114.0,20170528,30.96
288301,K1353907927.0,20170528,29.98
126898,K2188622405.0,20170528,22.70
298574,K3104709474.0,20170528,19.96
284313,K1444746232.0,20170528,19.96
285119,K1618977401.0,20170528,18.90
289818,K1788481308.0,20170528,15.90
282675,K425687718.0,20170528,14.99
304177,K510558115.0,20170528,14.97
126900,K3661856005.0,20170528,14.97
300162,K963054033.0,20170528,14.90
126897,K2188622405.0,20170528,14.90
302551,K2613689774.0,20170528,13.96
167403,K0167403.0,20170528,12.99
285092,K1654961750.0,20170528,11.34
167384,K0167384.0,20170528,9.90
167375,K0167375.0,20170528,9.00
126901,K1894739815.0,20170528,8.89
167393,K0167393.0,20170528,8.78
167399,K0167399.0,20170528,8.00
167380,K0167380.0,20170528,8.00
167411,K0167411.0,20170528,7.99
167383,K0167383.0,20170528,7.90
167397,K0167397.0,20170528,6.99
167385,K0167385.0,20170528,6.00
167395,K0167395.0,20170528,6.00
167408,K0167408.0,20170528,5.00
167386,K0167386.0,20170528,5.00
167377,K0167377.0,20170528,5.00
167391,K0167391.0,20170528,5.00
